Mass,logT,logL,Age,Global_tauc,Local_tauc,I_Con_Core,I_Rad_Zone,I_Con_Env,Total,U,B,V,R,I,J,H,K,U,B,V,R,I
0.70,3.64654,-0.85948,0.500,8.117e+01,4.400e+01,0.000e+00,2.454e+53,1.082e+53,3.536e+53,9.832,8.696,7.499,6.819,6.253,5.415,4.810,4.708,9.726,8.651,7.511,6.821,6.233
0.75,3.66575,-0.72461,0.500,7.089e+01,3.887e+01,0.000e+00,2.954e+53,1.090e+53,4.044e+53,9.124,8.120,7.022,6.420,5.926,5.123,4.555,4.459,9.054,8.117,7.052,6.422,5.886
0.80,3.68619,-0.59368,0.500,6.254e+01,3.458e+01,0.000e+00,3.460e+53,1.093e+53,4.553e+53,8.349,7.543,6.558,6.032,5.594,4.866,4.346,4.258,8.345,7.585,6.603,6.039,5.553
0.85,3.70568,-0.46899,0.500,5.501e+01,3.079e+01,0.000e+00,3.994e+53,1.081e+53,5.074e+53,7.634,7.040,6.157,5.681,5.270,4.632,4.153,4.074,7.686,7.091,6.190,5.684,5.243
0.90,3.72368,-0.35030,0.500,4.790e+01,2.729e+01,0.000e+00,4.572e+53,1.036e+53,5.608e+53,7.015,6.605,5.809,5.367,4.974,4.404,3.959,3.886,7.089,6.644,5.822,5.366,4.958
0.95,3.73984,-0.23755,0.500,4.124e+01,2.400e+01,0.000e+00,5.191e+53,9.679e+52,6.159e+53,6.475,6.204,5.480,5.070,4.695,4.191,3.790,3.723,6.536,6.226,5.477,5.065,4.689
1.00,3.75439,-0.12957,0.500,3.487e+01,2.080e+01,0.000e+00,5.852e+53,8.648e+52,6.717e+53,5.992,5.835,5.173,4.797,4.446,3.987,3.625,3.568,6.081,5.859,5.175,4.795,4.444
1.05,3.76739,-0.02597,0.500,2.864e+01,1.757e+01,0.000e+00,6.570e+53,7.092e+52,7.279e+53,5.583,5.499,4.888,4.541,4.213,3.779,3.446,3.394,5.659,5.515,4.888,4.538,4.209
1.10,3.77903,0.07324,0.500,2.193e+01,1.419e+01,4.481e+50,7.310e+53,5.254e+52,7.840e+53,5.226,5.190,4.620,4.298,3.992,3.573,3.263,3.212,5.264,5.186,4.615,4.291,3.983
1.15,3.78948,0.16746,0.500,1.467e+01,1.069e+01,1.960e+51,8.049e+53,3.331e+52,8.401e+53,4.911,4.898,4.363,4.061,3.774,3.392,3.107,3.060,4.951,4.901,4.369,4.066,3.774
1.20,3.79899,0.25725,0.500,8.141e+00,7.440e+00,3.944e+51,8.770e+53,1.525e+52,8.962e+53,4.617,4.623,4.119,3.837,3.566,3.218,2.959,2.916,4.652,4.627,4.134,3.849,3.573
1.25,3.80807,0.34281,0.500,2.394e+00,0.000e+00,5.794e+51,9.448e+53,2.806e+51,9.534e+53,4.344,4.363,3.890,3.625,3.371,3.056,2.822,2.782,4.370,4.368,3.911,3.644,3.383
1.30,3.81760,0.42605,0.500,0.000e+00,0.000e+00,6.669e+51,1.004e+54,0.000e+00,1.010e+54,4.084,4.110,3.667,3.420,3.182,2.902,2.694,2.657,4.110,4.115,3.693,3.445,3.200
1.35,3.82645,0.50530,0.500,0.000e+00,0.000e+00,7.989e+51,1.065e+54,0.000e+00,1.073e+54,3.848,3.873,3.457,3.226,3.001,2.754,2.570,2.535,3.884,3.884,3.490,3.257,3.027
1.40,3.83525,0.58081,0.500,0.000e+00,0.000e+00,9.578e+51,1.132e+54,0.000e+00,1.141e+54,3.623,3.648,3.260,3.048,2.838,2.613,2.448,2.415,3.668,3.659,3.294,3.077,2.862
1.45,3.84458,0.65226,0.500,0.000e+00,0.000e+00,1.106e+52,1.206e+54,0.000e+00,1.218e+54,3.404,3.432,3.076,2.885,2.693,2.483,2.337,2.306,3.461,3.446,3.109,2.910,2.711
1.50,3.85476,0.72048,0.500,0.000e+00,0.000e+00,1.331e+52,1.288e+54,0.000e+00,1.302e+54,3.227,3.227,2.896,2.721,2.539,2.366,2.232,2.201,3.278,3.242,2.934,2.752,2.569
